item,pc,npc,coord,categoria
Angellis Ater/Azaneal,Coordinator Approval,Coordinator Approval,Demon,Angellis Ater/Azaneal
Veneficti Mages,Coordinator Approval,Coordinator Approval,Demon,Veneficti Mages
D'habi Revenants,Coordinator Approval,Coordinator Approval,Demon,D'habi Revenants
Extended Play supernatural Possession by a Fallen,Disallowed,Coordinator Approval,Demon,Extended Play supernatural Possession by a Fallen
Extended play possession of a Supernatural by a Demon,Disallowed,Coordinator Notify,Demon,Extended play possession of a Supernatural by a Demon
Extended play possession of semi-supernatural characters - PC Coordinator Approval - NPC Coordinator Notify,,,Demon and Genre Coordinator,Extended play possession of semi-supernatural characters - PC Coordinator Approval - NPC Coordinator Notify
Kinfolk,,,Demon and Changing Breeds,Kinfolk
Kinain,,,Demon and Changeling,Kinain
"Hedge Mage, Numina",,,Demon and Hunter,"Hedge Mage, Numina"
Ghoul Character,,,Demon,Ghoul Character
Possession of a Changing Breed or Vampire by a Fallen,Disallowed,Disallowed,Demon,Possession of a Changing Breed or Vampire by a Fallen
Demonic Heritage: Laham,Disallowed,Coordinator Approval,Demon,Demonic Heritage: Laham
Demonic Tutor,Disallowed,Coordinator Approval,Demon,Demonic Tutor
Demonic Patron,Disallowed,Coordinator Approval,Demon,Demonic Patron
Unbound Diabolist,Disallowed,Coordinator Approval,Demon,Unbound Diabolist
"Blessed (Sins of the Blood, pg 102)",Coordinator Approval,Coordinator Approval,Demon,"Blessed (Sins of the Blood, pg 102)"
Baali Apostate,Coordinator Approval,Coordinator Approval,Demon,Baali Apostate
Unholy Aura,Coordinator Approval,Coordinator Approval,Demon,Unholy Aura
Covenant of the Old Ways,Coordinator Approval,Coordinator Approval,Demon,Covenant of the Old Ways
Blasphemous Pact,Disallowed,Coordinator Approval,Demon,Blasphemous Pact
Penitent Merit for Reconcilers,Coordinator Notify,Coordinator Notify,Demon,Penitent Merit for Reconcilers
Penitent Merit for non-Reconcilers,Coordinator Approval,Coordinator Notify,Demon,Penitent Merit for non-Reconcilers
True Faith Merit for Fallen,Disallowed,Disallowed,Demon,True Faith Merit for Fallen
Nephilim,Coordinator Approval,Coordinator Notify,Demon & Mage,Nephilim
Daimonion Based Combination Disciplines possessed by Non-Baali,Coordinator Approval,Coordinator Approval,Demon,Daimonion Based Combination Disciplines possessed by Non-Baali
Dark Thaumaturgy Combination Disciplines possessed by Non-Infernalists,Coordinator Approval,Coordinator Approval,Demon,Dark Thaumaturgy Combination Disciplines possessed by Non-Infernalists
Usage of Investment: Relentless,Disallowed,Coordinator Notify,Demon,Usage of Investment: Relentless
Dark Thaumaturgy,Disallowed,Unregulated,Demon,Dark Thaumaturgy
Out-of-Parent-Genre powers not printed as investments in any White Wolf material for PCs,Disallowed,Majority Vote,Demon,Out-of-Parent-Genre powers not printed as investments in any White Wolf material for PCs
Custom powers as Investments,Disallowed,Coordinator Approval,Demon,Custom powers as Investments
Non Baali/Angellis/Baali Apostates with Daimonion,Coordinator Approval,Coordinator Approval,Demon,Non Baali/Angellis/Baali Apostates with Daimonion
"Use of Lore of Spirit 5: Restore the Dead targeting a Fallen, Semi-Supernatural, Mortal or Wraith PC or former PC",Coordinator Approval,Coordinator Approval,Demon,"Use of Lore of Spirit 5: Restore the Dead targeting a Fallen, Semi-Supernatural, Mortal or Wraith PC or former PC"
Earthbound Lores for non-Earthbound,Coordinator Approval,Coordinator Approval,Demon,Earthbound Lores for non-Earthbound
Earthbound Form Powers for non-Earthbound,Disallowed,Disallowed,Demon,Earthbound Form Powers for non-Earthbound
Earthbound Rituals for non-Earthbound,Disallowed,Disallowed,Demon,Earthbound Rituals for non-Earthbound
In House and Common Pinnacle Lores,Disallowed,ST Approval,Demon,In House and Common Pinnacle Lores
Out of House Pinnacle Lores,Disallowed,Coordinator Approval,Demon,Out of House Pinnacle Lores
Sabbat Vampires with Dark Thaumaturgy and Investments: PC - Disallowed,,Unregulated,Demon,Sabbat Vampires with Dark Thaumaturgy and Investments: PC - Disallowed
Investments,Disallowed,Unregulated,Demon,Investments
Non Kuei-Jin making pacts with Yama Kings,Disallowed,Coordinator Approval,Kuei,Non Kuei-Jin making pacts with Yama Kings
Kuei-Jin making pacts with Yama Kings,Coordinator Approval,Coordinator Approval,Kuei,Kuei-Jin making pacts with Yama Kings
Wells of Sacrifice lvl 4,Disallowed,Coordinator Notify,Demon,Wells of Sacrifice lvl 4
Wells of Sacrifice lvl 5,Disallowed,Coordinator Approval,Demon,Wells of Sacrifice lvl 5
Nest Membership lvl 4,Disallowed,Coordinator Notify,Demon,Nest Membership lvl 4
Nest Membership lvl 5,Disallowed,Coordinator Approval,Demon,Nest Membership lvl 5
Altar lvl 4,Disallowed,Coordinator Notify,Demon,Altar lvl 4
Altar lvl 5,Disallowed,Coordinator Approval,Demon,Altar lvl 5
Diabolist Circles lvl 4,Disallowed,Coordinator Notify,Demon,Diabolist Circles lvl 4
Diabolist Circles lvl 5,Disallowed,Coordinator Approval,Demon,Diabolist Circles lvl 5
Infernal Ranking,Disallowed,Coordinator Notify,Demon,Infernal Ranking
Infernal Relic 4-5,Disallowed,Coordinator Approval,Demon,Infernal Relic 4-5
Fallen Rank 3+ PC Coordinator Approval,,Coordinator Approval,Demon,Fallen Rank 3+ PC Coordinator Approval
Demon: the Fallen Backgrounds for Non-Demons,Disallowed,Disallowed,Demon,Demon: the Fallen Backgrounds for Non-Demons
Demon: The Fallen Background: Cult 5 - PC Coordinator Approval,,Coordinator Notify,Demon,Demon: The Fallen Background: Cult 5 - PC Coordinator Approval
Earthbound Backgrounds for Non-Earthbound,Disallowed,Disallowed,Demon,Earthbound Backgrounds for Non-Earthbound
Mastery Background for Angels,Disallowed,Coordinator Approval,Demon,Mastery Background for Angels
Demon: the Fallen Backgrounds for Non-Demons,Disallowed,Disallowed,Demon,Demon: the Fallen Backgrounds for Non-Demons
Cult of Kupalla,Coordinator Approval,Coordinator Notify,"Demon, Tzimisce",Cult of Kupalla
Order of the Wyrm,Coordinator Approval,Coordinator Notify,"Demon, Tremere",Order of the Wyrm
"Non Baali/Baali Apostates on Path of Hive (Clan book Baali, Chaining the Beast, Tal Mahe Ra Guide to the Black Hand versions)",Coordinator Approval,Coordinator Approval,Demon,"Non Baali/Baali Apostates on Path of Hive (Clan book Baali, Chaining the Beast, Tal Mahe Ra Guide to the Black Hand versions)"
Enchanted Relics with more than one effect or evocation: PC Coordinator Approval - NPC Coordinator Approval,,,Demon,Enchanted Relics with more than one effect or evocation: PC Coordinator Approval - NPC Coordinator Approval
Torment Score below 1 - PC Coordinator Approval,,Coordinator Approval,Demon,Torment Score below 1 - PC Coordinator Approval
Sphere 6+ Mages,2/3 Majority Vote,Majority Vote,Mage,Sphere 6+ Mages
Marauders,Majority Vote,Coordinator Notify,Mage,Marauders
Nephandi,Majority Vote,Coordinator Notify,Mage,Nephandi
Bygone Beasts,Coordinator Approval,Unregulated,Mage and Changeling,Bygone Beasts
Revenant Mages,Disallowed,Coordinator Approval,Mage and Tzimisce,Revenant Mages
Hollow Ones,Unregulated,Unregulated,Mage,Hollow Ones
Other Disparate/Craft Mages,Coordinator Approval,Coordinator Approval,Mage,Other Disparate/Craft Mages
Orphans,Unregulated,Unregulated,Mage,Orphans
Grimoires and Principae,Coordinator Approval,Coordinator Approval,Mage,Grimoires and Principae
Canon Wonders with fewer than 10 existing by book,Disallowed,Coordinator Approval,Mage,Canon Wonders with fewer than 10 existing by book
Genre-specific Mage Backgrounds on non-Mages,Coordinator Approval,Coordinator Approval,Mage,Genre-specific Mage Backgrounds on non-Mages
Genre-specific Mage genre Merits/Flaws on non-Mages,Coordinator Approval,Coordinator Approval,Mage,Genre-specific Mage genre Merits/Flaws on non-Mages
Merit: Immunity (standard version) at a rating greater than 6,Majority Vote,Coordinator Notify,Mage,Merit: Immunity (standard version) at a rating greater than 6
"Merit: Immunity (""half damage"" version) at a rating greater than 3",Majority Vote,Coordinator Notify,Mage,"Merit: Immunity (""half damage"" version) at a rating greater than 3"
Merit: Immunity - multiple instances of the merit on the same PC,Coordinator Approval,Coordinator Notify,Mage,Merit: Immunity - multiple instances of the merit on the same PC
Merit: Immortal (7 point version),Majority Vote,Coordinator Notify,Mage,Merit: Immortal (7 point version)
Non-Standard Mummies,Coordinator Approval,Coordinator Approval,Mummy,Non-Standard Mummies
Asek-Sen,Disallowed,Unregulated,Mummy,Asek-Sen
Bane Mummies,Disallowed,Unregulated,Mummy,Bane Mummies
Canon Mummies and Bane Mummies,Disallowed,Coordinator Approval,Mummy,Canon Mummies and Bane Mummies
Hekau: Nomenclature on Amenti or other standard mummies,Coordinator Approval,Unregulated,Mummy,Hekau: Nomenclature on Amenti or other standard mummies
Non-Mummy Full Supernaturals benefitting from the products of Amulet or Alchemy Hekau,Coordinator Approval,Unregulated,Mummy,Non-Mummy Full Supernaturals benefitting from the products of Amulet or Alchemy Hekau
Genre Specific Mummy Backgrounds on non-Mummys,Coordinator Approval,Coordinator Approval,Mummy,Genre Specific Mummy Backgrounds on non-Mummys
Genre-specific Mummy genre Merits/Flaws on non-Mummies,Coordinator Approval,Coordinator Approval,Mummy,Genre-specific Mummy genre Merits/Flaws on non-Mummies
Dharma 6+ Kuei-Jin,Coordinator Approval,Coordinator Approval,Kuei,Dharma 6+ Kuei-Jin
Yulan-Jin,Coordinator Notify,Unregulated,Kuei,Yulan-Jin
Dhampyr,Coordinator Notify,Unregulated,Kuei,Dhampyr
Jin Hai,Disallowed,Coordinator Approval,Kuei,Jin Hai
Vampiric Bloodlines Gaki and Bushi,Disallowed,Disallowed,Kuei,Vampiric Bloodlines Gaki and Bushi
"Akuma (Political, Lesser, Greater)",Coordinator Approval,Coordinator Approval,Kuei,"Akuma (Political, Lesser, Greater)"
Ambassador Merit,Coordinator Approval,Coordinator Approval,Kuei,Ambassador Merit
Court Appointment Merit,Coordinator Approval,Coordinator Approval,Kuei,Court Appointment Merit
"Mibasham, non-Face of the Gods possessing Prayer Eating, non-Tempest of the Inward Focus possessing Inward Way or Tempest of Inward Focus","Coordinator Notify, NPC: Coordinator Notify",,Kuei,"Mibasham, non-Face of the Gods possessing Prayer Eating, non-Tempest of the Inward Focus possessing Inward Way or Tempest of Inward Focus"
"Hell-Weaving, Bile Shintai",Coordinator Approval,Coordinator Notify,Kuei,"Hell-Weaving, Bile Shintai"
4th Age Elemental Shintai,Disallowed,Coordinator Approval,Kuei,4th Age Elemental Shintai
"Kuei-jin Custom powers, combos, secret techniques",Coordinator Approval,Coordinator Notify,Kuei,"Kuei-jin Custom powers, combos, secret techniques"
"Vampiric Powers of the Gaki and Bushi vampire bloodlines, including Rift and Kiai",Disallowed,Disallowed,Kuei,"Vampiric Powers of the Gaki and Bushi vampire bloodlines, including Rift and Kiai"
Translated Necromancy Rites,"Coordinator Approval, Giovanni and Kuei",Coordinator Approval,Giovanni and Kuei,Translated Necromancy Rites
Kuei-jin Custom Rites,Coordinator Approval,Coordinator Notify,Kuei,Kuei-jin Custom Rites
"Non Kuei-jin with Linguistics: Kaja, except Wu Lung and Akashic Brotherhood",Coordinator Approval,Coordinator Approval,Kuei,"Non Kuei-jin with Linguistics: Kaja, except Wu Lung and Akashic Brotherhood"
Western Vampires gaining a Hun and/or P'o,Coordinator Approval,Coordinator Approval,Kuei,Western Vampires gaining a Hun and/or P'o
Western Vampires learning or possessing Kuei-Jin Disciplines,Coordinator Approval,Coordinator Approval,Kuei,Western Vampires learning or possessing Kuei-Jin Disciplines
Lore Black Hand Sign Language for Non-Black Hand,Disallowed,Disallowed,Sabbat,Black Hand Sign Language for Non-Black Hand
True Enochian (Vampire),Coordinator Approval,Coordinator Approval,Sabbat,True Enochian (Vampire)
Non-Black Hand with Art of Memory for,Disallowed,Disallowed,Sabbat,Non-Black Hand with Art of Memory for
Lore Babel,Coordinator Approval,Coordinator Approval,Malkavian,Babel
Non-Gangrel with Rending,Coordinator Approval,Coordinator Approval,Gangrel,Non-Gangrel with Rending
Non-Malkavians with Malkavian Time,Disallowed,Disallowed,Malkavian,Non-Malkavians with Malkavian Time
Lore Kiasyd Alchemy Levels 1 - 5 for Non-Kiasyd,Coordinator Approval,Coordinator Approval,Lasombra,Kiasyd Alchemy Levels 1 - 5 for Non-Kiasyd
Lore Kiasyd Alchemy for Kiasyd,Coordinator Notify,Unregulated,Lasombra,Kiasyd Alchemy for Kiasyd
Lore Kiasyd Alchemy Levels 6+,Disallowed,Coordinator Approval,Lasombra,Kiasyd Alchemy Levels 6+
Lore Custom Kiasyd Alchemy Recipes,Coordinator Approval,Coordinator Approval,Lasombra,Custom Kiasyd Alchemy Recipes
Lore: Abyss 4,Coordinator Notify,Unregulated,Lasombra,Lore: Abyss 4
Lore: Abyss 5,Coordinator Approval,Notify,Lasombra,Lore: Abyss 5
Lore: Lasombra for Non-Lasombra 4,Coordinator Notify,Unregulated,Lasombra,Lore: Lasombra for Non-Lasombra 4
Lore: Lasombra for Non-Lasombra 5,Coordinator Approval,Notify,Lasombra,Lore: Lasombra for Non-Lasombra 5
Lore Ghemalish,Coordinator Approval,Coordinator Approval,Sabbat,Ghemalish
Lore Ba'Hara for non Bahari/Cult of Lilith Characters - PC,Coordinator Approval,Coordinator Approval,Sabbat,Ba'Hara for non Bahari/Cult of Lilith Characters - PC
Lore Bahari for non Bahari/Cult of Lilith Characters - PC,Coordinator Approval,Coordinator Approval,Sabbat,Bahari for non Bahari/Cult of Lilith Characters - PC
Unusual Caitiff/Pander,Coordinator Approval,Coordinator Approval,Appropriate Sect Coordinator for approvals: Camarilla Coordinator,Unusual Caitiff/Pander
Dracian's Lineage,Coordinator Approval,Coordinator Approval,Ravnos,Dracian's Lineage
Assamite Loyalists,Coordinator Approval,Coordinator Approval,Assamite,Assamite Loyalists
Assamite Sorcerers,Coordinator Approval,Coordinator Approval,Assamite,Assamite Sorcerers
Bedouin Warriors,Coordinator Approval,Coordinator Approval,Assamite,Bedouin Warriors
Byzantine Viziers,Coordinator Approval,Coordinator Approval,Assamite,Byzantine Viziers
Leopards of Zion,Coordinator Notify,Coordinator Notify,Assamite,Leopards of Zion
Sabbat Assamite Viziers,Coordinator Notify,Unregulated,Assamite,Sabbat Assamite Viziers
Sisterhood of the Erinyes,Coordinator Notify,Coordinator Notify,Assamite,Sisterhood of the Erinyes
Web of Knives,Coordinator Approval,Coordinator Approval,Assamite,Web of Knives
Kairos Brujah,Coordinator Notify,Coordinator Notify,Brujah,Kairos Brujah
Dispassionate Brujah,Coordinator Notify,Coordinator Notify,Brujah,Dispassionate Brujah
Epicene Brujah,Coordinator Approval,Coordinator Approval,Brujah,Epicene Brujah
True Brujah,Coordinator Approval,Coordinator Approval,Brujah,True Brujah
Ahrimanes,2/3 Majority Vote,Majority Vote,Gangrel,Ahrimanes
Anda,2/3 Majority Vote,Majority Vote,Gangrel,Anda
City Gangrel Embraced before 1870,Coordinator Approval,Coordinator Approval,Gangrel,City Gangrel Embraced before 1870
City Gangrel Embraced outside of Americas,Coordinator Approval,Coordinator Approval,Gangrel,City Gangrel Embraced outside of Americas
Ghost Singers,Coordinator Approval,Coordinator Approval,Gangrel,Ghost Singers
Greek Gangrel,Coordinator Approval,Coordinator Approval,Gangrel,Greek Gangrel
Lhiannon,2/3 Majority Vote,Majority Vote,Gangrel,Lhiannon
Mariner Gangrel,Coordinator Approval,Coordinator Approval,Gangrel,Mariner Gangrel
Noiad,2/3 Majority Vote,Majority Vote,Gangrel,Noiad
7th Generation or lower Samedi NPCs,N/A,Coordinator Approval,Giovanni,7th Generation or lower Samedi NPCs
Cappadocians,Majority Vote,Coordinator Approval,Giovanni,Cappadocians
Harbingers of Skulls,Coordinator Approval,Coordinator Approval,Giovanni,Harbingers of Skulls
Lamia,2/3 Majority Vote,Majority Vote,Giovanni,Lamia
Nagaraja,2/3 Majority Vote,Coordinator Approval,Giovanni,Nagaraja
Samedi,Coordinator Approval,Coordinator Approval,Giovanni,Samedi
Sabbat Kiasyd,Coordinator Approval,Coordinator Approval,Lasombra,Sabbat Kiasyd
Sabbat Kiasyd with Necromancy instead of Dominate,Coordinator Approval,Coordinator Approval,Lasombra and Giovanni,Sabbat Kiasyd with Necromancy instead of Dominate
Non-Sabbat Kiasyd,Majority Vote,Coordinator Approval,Lasombra,Non-Sabbat Kiasyd
Non-Sabbat Kiasyd with Necromancy instead of Dominate,Majority Vote,Coordinator Approval,Lasombra and Giovanni,Non-Sabbat Kiasyd with Necromancy instead of Dominate
Lasombra Antitribu,Coordinator Approval,Coordinator Approval,Lasombra,Lasombra Antitribu
Non-Sabbat Lasombra,Coordinator Approval,Coordinator Approval,Lasombra,Non-Sabbat Lasombra
Dominate Malkavians,Coordinator Approval,Coordinator Approval,Malkavian,Dominate Malkavians
Malkavians (including ATs) with Dominate Discipline in-clan,Coordinator Approval,Coordinator Approval,Malkavian,Dominate Malkavians
Pre-Week of Nightmares Ravnos,Coordinator Approval,Coordinator Approval,Ravnos,Pre-Week of Nightmares Ravnos
Includes Ravnos Antitribu,Coordinator Approval,Coordinator Approval,Ravnos,Pre-Week of Nightmares Ravnos
Ravnos NPCs of 8th generation or lower,N/A,Coordinator Approval,Ravnos,Ravnos NPCs of 8th generation or lower
Renascut Bloodline,Coordinator Approval,Coordinator Approval,Ravnos,Renascut Bloodline
Hajj,Coordinator Approval,Coordinator Approval,Nosferatu,Hajj
Nictuku,Coordinator Approval,Coordinator Approval,Nosferatu,Nictuku
al-Amin,Coordinator Approval,Coordinator Approval,Salubri,al-Amin
Healer Caste,Coordinator Approval,Coordinator Approval,Salubri,al-Amin
Warrior Caste,Coordinator Approval,Coordinator Approval,Salubri,al-Amin
Salubri,Coordinator Approval,Coordinator Approval,Salubri,Salubri
Healer Caste,Coordinator Approval,Coordinator Approval,Salubri,Salubri
Warrior Caste Modern Warriors Non Warrior Salubri to Salubri Warrior Original Warriors,Coordinator Approval,Coordinator Approval,Salubri,Salubri
Salubri antitribu embraced before 1900,Disallowed,Disallowed,Salubri,Salubri antitribu embraced before 1900
Salubri antitribu embraced from 1900 to 1990,Coordinator Approval,Coordinator Approval,Salubri,Salubri antitribu embraced from 1900 to 1990
Wu Zao,Coordinator Approval,Coordinator Approval,Salubri,Wu Zao
Scholar Caste,Coordinator Approval,Coordinator Approval,Salubri,Wu Zao
Thief Caste,Coordinator Approval,Coordinator Approval,Salubri,Wu Zao
Children of Damballah,Coordinator Approval,Coordinator Notify,Setite,Children of Damballah
Setite Tlacique,Coordinator Approval,Coordinator Approval,Setite,Setite Tlacique
"Those who learn Protean from Tlacique Out of Clan, Fight/Flight forms are Panther/Bat",Coordinator Approval,Coordinator Approval,Setite,Setite Tlacique
Vampiric Children of Osiris,2/3 Majority Vote,2/3 Majority Vote,Setite,Vampiric Children of Osiris
Warrior Setites (Bloodline),Coordinator Notify,Coordinator Notify,Setite,Warrior Setites (Bloodline)
Daughters of Cacophany,Coordinator Approval,Coordinator Approval,Toreador,Daughters of Cacophany
Sons of Discord,2/3 Majority Vote,Majority Vote,Toreador,Sons of Discord
Standard Tremere,Coordinator Notify,Coordinator Approval,Tremere,Standard Tremere
Camarilla Tremere,Coordinator Notify,Coordinator Approval,Tremere,Standard Tremere
Non-Standard Tremere,Coordinator Approval,Coordinator Approval,Tremere,Non-Standard Tremere
Anarch Tremere,Coordinator Approval,Coordinator Approval,Tremere,Non-Standard Tremere
Rogue Tremere Tremere with the Embraced Without the Cup Merit Tremere who willingly fled the Pyramid,Coordinator Approval,Coordinator Approval,Tremere,Non-Standard Tremere
Telyavelic Tremere,Coordinator Approval,Coordinator Approval,Tremere,Telyavelic Tremere
Tremere Antitribu,2/3 Majority Vote,Majority Vote,Tremere,Tremere Antitribu
This includes the merit Unmarked Antitribu only for Tremere Antitribu,2/3 Majority Vote,Majority Vote,Tremere,Tremere Antitribu
Gargoyles,Coordinator Approval,Coordinator Approval,Tremere,Gargoyles
Scout Gargoyles,Coordinator Approval,Coordinator Approval,Tremere,Scout Gargoyles
Sentinel Gargoyles,Coordinator Approval,Coordinator Approval,Tremere,Sentinel Gargoyles
Warrior Gargoyles,Coordinator Approval,Coordinator Approval,Tremere and Gangrel,Warrior Gargoyles
Simulacra Gargoyles,Disallowed,Coordinator Approval,Tremere,Simulacra Gargoyles
Blood Brothers,Coordinator Approval,Coordinator Approval,Tzimisce,Blood Brothers
Old Clan Tzimisce,2/3 Majority Vote,Coordinator Approval,Tzimisce,Old Clan Tzimisce
Tzimisce Kolduns,Coordinator Approval,Coordinator Approval,Tzimisce,Tzimisce Kolduns
Vampires Embraced from Extinct Revenant Lines,Majority Vote,Coordinator Approval,Tzimisce,Vampires Embraced from Extinct Revenant Lines
OWbN Specific Bloodlines,Majority Vote,Coordinator Notify,Varies,OWbN Specific Bloodlines
Creation of New Revenant Families,Coordinator Approval,Coordinator Approval,Tzimisce,Creation of New Revenant Families
Basarab,2/3 Majority Vote,Coordinator Approval,Tzimisce,Basarab
Danislav,2/3 Majority Vote,Coordinator Approval,Tzimisce,Danislav
D'habi,Coordinator Approval,Coordinator Approval,Demon,D'habi
Ducheski,2/3 Majority Vote,Majority Vote,Tremere,Ducheski
Ducheski in service to the Tremere House Arcanum,Coordinator Approval,Coordinator Approval,Tremere,Ducheski in service to the Tremere House Arcanum
Enrathi,Coordinator Approval,Coordinator Approval,Sabbat,Enrathi
Kairouan Brotherhood,Coordinator Approval,Coordinator Approval,Assamite,Kairouan Brotherhood
Katayama,Coordinator Approval,Coordinator Approval,Malkavian,Katayama
Keskinen,Coordinator Approval,Coordinator Approval,Malkavian,Keskinen
Khavi,2/3 Majority Vote,Coordinator Approval,Tzimisce,Khavi
Krevcheski,2/3 Majority Vote,Majority Vote,Tzimisce,Krevcheski
Marijava,Coordinator Approval,Coordinator Approval,Assamite for Assamite Loyal; Sabbat for former Tal'Mahe'Ra,Marijava
Oprichniki,Coordinator Notify,Coordinator Notify,Tzimisce,Oprichniki
Rafastio,Coordinator Approval,Coordinator Approval,Sabbat,Rafastio
"Servants of Anushin-Rawan, the Chosen",Coordinator Approval,Coordinator Approval,Ventrue,"Servants of Anushin-Rawan, the Chosen"
Talons of Black Rage,Coordinator Approval,Coordinator Approval,Lasombra,Talons of Black Rage
Vlaszy,2/3 Majority Vote,Coordinator Approval,Tzimisce,Vlaszy
Rossellini,Coordinator Approval,Coordinator Approval,Giovanni,Rossellini
Buryat Revenant,Coordinator Approval,Coordinator Approval,Ravnos,Buryat Revenant
Katila Revenant,Coordinator Approval,Coordinator Approval,Ravnos and Giovanni,Katila Revenant
Dacian Revenant,Coordinator Approval,Coordinator Approval,Ravnos,Dacian Revenant
Lilim - PC Coordinator Approval,,Coordinator Approval,Giovanni,Lilim - PC Coordinator Approval
Mnemosyne Bloodline,Coordinator Approval,Coordinator Approval,Malkavian,Mnemosyne Bloodline
Drakaina,Coordinator Approval,Coordinator Notify,Giovanni,Drakaina
Brahmin Ravnos,Coordinator Approval,Coordinator Approval,Ravnos,Brahmin Ravnos
Daitya,Coordinator Approval,Coordinator Notify,Setite,Daitya
Danava,Coordinator Approval,Coordinator Approval,Ventrue and Ravnos,Danava
Baali,Coordinator Approval,Coordinator Approval,Demon,Baali
Angellis Ater/Azaneal,Coordinator Approval,Coordinator Approval,Demon,Angellis Ater/Azaneal
Maeghar with Mytherceria in-clan,Coordinator Approval,Coordinator Approval,Lasombra,Maeghar with Mytherceria in-clan
For Maeghar with Necromancy in-clan rather than Mytherceria,,,Lasombra and Giovanni,For Maeghar with Necromancy in-clan rather than Mytherceria
Witches of Echidna,Coordinator Approval,Coordinator Approval,Setite,Witches of Echidna
Follower of Set Priest,Coordinator Approval,Coordinator Approval,Setite,Follower of Set Priest
Nephilim,Coordinator Approval,Coordinator Approval,Ravnos and Toreador,Nephilim
Embraced Rossellini,Coordinator Approval,Coordinator Approval,Giovanni,Embraced Rossellini
Tremere Acolyte Ghouls,Coordinator Notify,Storyteller Approval,Tremere,Tremere Acolyte Ghouls
Nagloper Legacy,Coordinator Approval,Unregulated,"Anarch, Tzimisce",Nagloper Legacy
Mla Watu Legacy,Coordinator Approval,Unregulated,"Anarch, Giovanni",Mla Watu Legacy
Impundulu Legacy,Coordinator Approval,Unregulated,"Anarch, Giovanni",Impundulu Legacy
Nkulu Zao Legacy,Coordinator Approval,Unregulated,"Anarch, Salubri",Nkulu Zao Legacy
Xi Dundu Legacy,Coordinator Approval,Unregulated,"Anarch, Lasombra",Xi Dundu Legacy
Ramanga Legacy,Coordinator Approval,Unregulated,"Anarch, Lasombra",Ramanga Legacy
Yaryan Blood Line,Disallowed,Disallowed,Brujah,Yaryan Blood Line
Rakta-Radhu Bloodline,Coordinator Approval,Coordinator Approval,Ravnos,Rakta-Radhu Bloodline
Brujah Santos,Coordinator Approval,Coordinator Approval,Setite and Brujah,Brujah Santos
General Sabbat Factions,Coordinator Approval,Coordinator Approval,Sabbat,General Sabbat Factions
Nationally Important Sabbat Faction Members leaving their Faction,Coordinator Approval,Coordinator Approval,Sabbat,General Sabbat Factions
Nationally Important Sabbat Faction Members,Coordinator Approval,Coordinator Approval,Sabbat,General Sabbat Factions
Sabbat Faction Infiltration,Coordinator Approval,Coordinator Approval,Sabbat,General Sabbat Factions
Sabbat Faction Leaders,Coordinator Approval,Coordinator Approval,Sabbat,General Sabbat Factions
Sabbat Faction Memberships Background 4+,Coordinator Approval,Coordinator Approval,Sabbat,General Sabbat Factions
Sabbat Faction Regionally Important,Coordinator Approval,Coordinator Notify,Sabbat,Sabbat Faction Regionally Important
Sabbat Lower Ranks and Titles,Coordinator Approval,Coordinator Approval,Sabbat,Sabbat Lower Ranks and Titles
Paladins,Coordinator Approval,Coordinator Approval,Sabbat,Sabbat Lower Ranks and Titles
Sabbat Upper Ranks,Disallowed,Coordinator Approval,Sabbat,Sabbat Upper Ranks
Cardinal,Disallowed,Coordinator Approval,Sabbat,Sabbat Upper Ranks
Seraphim,Disallowed,Coordinator Approval,Sabbat,Sabbat Upper Ranks
Grand Inquisitor,Disallowed,Coordinator Approval,Sabbat,Sabbat Upper Ranks
Regent,Disallowed,Coordinator Approval,Sabbat,Sabbat Upper Ranks
Wazir,Disallowed,Coordinator Approval,Sabbat,Sabbat Upper Ranks
Black Hand,Coordinator Approval,Coordinator Approval,Sabbat,Black Hand
Membership into the Faction,Coordinator Approval,Coordinator Approval,Sabbat,Black Hand
Leaving the Black Hand,Coordinator Approval,Coordinator Approval,Sabbat,Black Hand
Black Hand holding a position above Ductus,Coordinator Approval,Coordinator Approval,Sabbat,Black Hand
Black Hand Contracts,Coordinator Approval,Coordinator Approval,Sabbat,Black Hand
Black Hand Magi,Coordinator Approval,Coordinator Approval,Sabbat,Black Hand
Zillah's Tears,Coordinator Approval,Coordinator Approval,Sabbat,Black Hand
Children of the Dracon,Coordinator Approval,Coordinator Approval,Sabbat,Children of the Dracon
Dragon Blooded,Coordinator Approval,Coordinator Approval,Sabbat,Children of the Dracon
Infernal,Disallowed,Coordinator Approval,Sabbat,Infernal
Joining the Associates,Disallowed,Coordinator Approval,Sabbat,Infernal
Dark Thaumaturgy approval for Associates faction characters,Disallowed,Coordinator Approval,Sabbat,Dark Thaumaturgy approval for Associates faction characters
Leaving a Sabbat Faction,Coordinator Notify,Coordinator Notify,Sabbat,Leaving a Sabbat Faction
Locally Important Sabbat Faction Member,Coordinator Notify,Coordinator Notify,Sabbat,Locally Important Sabbat Faction Member
Occult Underground,Coordinator Approval,Coordinator Approval,Sabbat,Occult Underground
Ah Nakom School,Coordinator Approval,Coordinator Approval,Sabbat,Occult Underground
Order of St. Blaise,Coordinator Approval,Coordinator Approval,Sabbat,Order of St. Blaise
The Legion Congregation,Coordinator Approval,Coordinator Approval,Sabbat,Order of St. Blaise
